No. Anggota,Daerah pemilihan,Potret,Nama,Komisi,Fraksi,Fraksi.1,Perolehan Suara Sah,Catatan
1,Aceh I,,"H. Irmawan S.Sos., M.M.",Komisi V,,PKB,125.234,
155,Aceh I,,"Jamaluddin Idham S.H., M.H.",Komisi XIII,,PDI-P,71.608,
264,Aceh I,,Drs. H. T. Zulkarnaini Ampon Bang,Komisi VII,,Golkar,91.816,
366,Aceh I,,"H. Muslim Ayub S.H., M.M.",Komisi XIII,,NasDem,73.995,
435,Aceh I,,Ghufran,Komisi VI,,PKS,46.713,
488,Aceh I,,H. Nazaruddin Dek Gam,Komisi III,,PAN,140.614,Ketua Mahkamah Kehormatan Dewan DPR RI
536,Aceh I,,H. Teuku Riefky Harsya,,,Demokrat,88.005,[Ket. 1]
536,Aceh I,,"H. T. Ibrahim S.T., M.M.",Komisi XIII,,Demokrat,12.653,[Ket. 2][2]
2,Aceh II,,H. Ruslan Daud,Komisi V,,PKB,141.953,
69,Aceh II,,Ir. H. T. A. Khalid M.M.,Komisi IV,,Gerindra,73.873,
265,Aceh II,,H. Ilham Pangestu,Komisi V,,Golkar,204.199,Wakil Ketua Badan Urusan Rumah Tangga DPR RI
266,Aceh II,,Samsul Bahri Tiyong,Komisi XIII,,Golkar,86.109,
367,Aceh II,,Irsan Sosiawan M.B.A.,Komisi XII,,NasDem,66.009,
436,Aceh II,,M. Nasir Djamil M.Si.,Komisi III,,PKS,59.552,
3,Sumatera Utara I,,Ashari Tambunan,Komisi VIII,,PKB,134.226,
70,Sumatera Utara I,,Ade Jona Prasetyo,Komisi XII,,Gerindra,136.085,
71,Sumatera Utara I,,"M. Husni S.E., M.M.",Komisi VIII,,Gerindra,61.622,
156,Sumatera Utara I,,Dr. Sofyan Tan,Komisi X,,PDI-P,279.334,
157,Sumatera Utara I,,"Prof. Dr. Yasonna H. Laoly S.H., M.Sc.",Komisi XIII,,PDI-P,83.045,
267,Sumatera Utara I,,"Dr. H. Musa Rajekshah S.Sos., M.Hum.",Komisi V,,Golkar,190.99,
268,Sumatera Utara I,,"Meutya Hafid B.Eng., M.I.P.",,,Golkar,147.004,[Ket. 3]
268,Sumatera Utara I,,"Kombes. Pol. (Purn.) Dr. Maruli Siahaan S.H., M.H.",Komisi X,,Golkar,36.53,[Ket. 4][3]
368,Sumatera Utara I,,Prananda Surya Paloh,Komisi I,,NasDem,103.019,
437,Sumatera Utara I,,Ir. H. Tifatul Sembiring,Komisi VII,,PKS,92.704,
537,Sumatera Utara I,,Muhammad Lokot Nasution S.T.,Komisi V,,Demokrat,56.688,
4,Sumatera Utara II,,H. Marwan Dasopang M.Si.,Komisi VIII,,PKB,49.175,Ketua Komisi VIII DPR RI
72,Sumatera Utara II,,Gus Irawan Pasaribu,,,Gerindra,87.343,[Ket. 5]
72,Sumatera Utara II,,Sabam Rajagukguk,Komisi IV,,Gerindra,49.236,[Ket. 6]
158,Sumatera Utara II,,Drs. Rapidin Simbolon M.M.,Komisi XIII,,PDI-P,102.546,
159,Sumatera Utara II,,Sihar P. H. Sitorus,Komisi IX,,PDI-P,86.341,
269,Sumatera Utara II,,Lamhot Sinaga,Komisi VII,,Golkar,158.973,Wakil Ketua Komisi VII DPR RI
270,Sumatera Utara II,,"Andar Amin Harahap S.STP., M.Si.",Komisi II,,Golkar,140.063,
271,Sumatera Utara II,,Trinovi Khairani B.A.,Komisi I,,Golkar,99.419,
369,Sumatera Utara II,,"Martin Manurung S.E., M.A.",Komisi XI,,NasDem,116.649,Wakil Ketua Badan Legislasi DPR RI
489,Sumatera Utara II,,"Dr. Saleh Partaonan Daulay M.Ag., M.Hum., M.A.",Komisi VII,,PAN,77.914,Ketua Komisi VII DPR RI
538,Sumatera Utara II,,Sabam Sinaga,Komisi X,,Demokrat,69.969,
73,Sumatera Utara III,,"Sugiat Santoso S.E., M.S.P.",Komisi XIII,,Gerindra,58.226,Wakil Ketua Komisi XIII DPR RI
160,Sumatera Utara III,,Bob Andika Mamana Sitepu,Komisi II,,PDI-P,94.621,
161,Sumatera Utara III,,Bane Raja Manalu,Komisi VII,,PDI-P,91.169,
272,Sumatera Utara III,,H. Ahmad Doli Kurnia Tandjung,Komisi II,,Golkar,141.846,Wakil Ketua Badan Legislasi DPR RI
273,Sumatera Utara III,,Delia Pratiwi Br. Sitepu S.H.,Komisi IX,,Golkar,119.047,
274,Sumatera Utara III,,"Mangihut Sinaga S.H., M.H.",Komisi III,,Golkar,116.091,
370,Sumatera Utara III,,Rudi Hartono Bangun S.E.,Komisi VI,,NasDem,103.387,
438,Sumatera Utara III,,H. Ansory Siregar,Komisi VIII,,PKS,66.736,Wakil Ketua Komisi VIII DPR RI
490,Sumatera Utara III,,Nasril Bahar S.E.,Komisi VI,,PAN,59.947,
539,Sumatera Utara III,,"Dr. Hinca I. P. Pandjaitan XIII S.H., M.H., ACCS.",Komisi III,,Demokrat,74.375,
5,Sumatera Barat I,,Rico Alviano S.T.,Komisi XII,,PKB,35.942,
74,Sumatera Barat I,,Andre Rosiade,Komisi VI,,Gerindra,114.914,Wakil Ketua Komisi VI DPR RI
162,Sumatera Barat I,,Alex Indra Lukman S.Sos.,Komisi IV,,PDI-P,68.393,Wakil Ketua Komisi IV DPR RI
