No. Anggota,Daerah pemilihan,Nama,Jenis Kelamin,Komisi,Fraksi,Jabatan,Provinsi,Koalisi
1,Aceh I,"H. Irmawan S.Sos., M.M.",Laki-Laki,Komisi V,PKB,-,Aceh,Oposisi
155,Aceh I,"Jamaluddin Idham S.H., M.H.",Laki-Laki,Komisi XIII,PDI-P,-,Aceh,Oposisi
264,Aceh I,Drs. H. T. Zulkarnaini Ampon Bang,Laki-Laki,Komisi VII,Golkar,-,Aceh,Koalisi Pemerintah
366,Aceh I,"H. Muslim Ayub S.H., M.M.",Laki-Laki,Komisi XIII,NasDem,-,Aceh,Oposisi
435,Aceh I,Ghufran,Laki-Laki,Komisi VI,PKS,-,Aceh,Oposisi
488,Aceh I,H. Nazaruddin Dek Gam,Laki-Laki,Komisi III,PAN,Ketua Mahkamah Kehormatan Dewan DPR RI,Aceh,Koalisi Pemerintah
536,Aceh I,"H. T. Ibrahim S.T., M.M.",Laki-Laki,Komisi XIII,Demokrat,-,Aceh,Koalisi Pemerintah
2,Aceh II,H. Ruslan Daud,Laki-Laki,Komisi V,PKB,-,Aceh,Oposisi
69,Aceh II,Ir. H. T. A. Khalid M.M.,Laki-Laki,Komisi IV,Gerindra,-,Aceh,Koalisi Pemerintah
265,Aceh II,H. Ilham Pangestu,Laki-Laki,Komisi V,Golkar,Wakil Ketua Badan Urusan Rumah Tangga DPR RI,Aceh,Koalisi Pemerintah
266,Aceh II,Samsul Bahri Tiyong,Laki-Laki,Komisi XIII,Golkar,-,Aceh,Koalisi Pemerintah
367,Aceh II,Irsan Sosiawan M.B.A.,Laki-Laki,Komisi XII,NasDem,-,Aceh,Oposisi
436,Aceh II,M. Nasir Djamil M.Si.,Laki-Laki,Komisi III,PKS,-,Aceh,Oposisi
3,Sumatera Utara I,Ashari Tambunan,Laki-Laki,Komisi VIII,PKB,-,Sumatera Utara,Oposisi
70,Sumatera Utara I,Ade Jona Prasetyo,Laki-Laki,Komisi XII,Gerindra,-,Sumatera Utara,Koalisi Pemerintah
71,Sumatera Utara I,"M. Husni S.E., M.M.",Laki-Laki,Komisi VIII,Gerindra,-,Sumatera Utara,Koalisi Pemerintah
156,Sumatera Utara I,Dr. Sofyan Tan,Laki-Laki,Komisi X,PDI-P,-,Sumatera Utara,Oposisi
157,Sumatera Utara I,"Prof. Dr. Yasonna H. Laoly S.H., M.Sc.",Laki-Laki,Komisi XIII,PDI-P,-,Sumatera Utara,Oposisi
267,Sumatera Utara I,"Dr. H. Musa Rajekshah S.Sos., M.Hum.",Laki-Laki,Komisi V,Golkar,-,Sumatera Utara,Koalisi Pemerintah
